# BLASTP 2.9.0+
# Query: EDEG_00001-t26_1-p1 | transcript=EDEG_00001-t26_1 | gene=EDEG_00001 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:5447-6043(+) | protein_length=198 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00002-t26_1-p1 | transcript=EDEG_00002-t26_1 | gene=EDEG_00002 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:14636-18244(-) | protein_length=1202 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00003-t26_1-p1 | transcript=EDEG_00003-t26_1 | gene=EDEG_00003 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:18372-21566(-) | protein_length=1064 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EDEG_00003-t26_1-p1	NP_010454.3	33.333	75	48	1	605	677	874	948	6.57e-07	51.6
# BLASTP 2.9.0+
# Query: EDEG_00004-t26_1-p1 | transcript=EDEG_00004-t26_1 | gene=EDEG_00004 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:34210-34563(-) | protein_length=117 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00005-t26_1-p1 | transcript=EDEG_00005-t26_1 | gene=EDEG_00005 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:43998-44405(+) | protein_length=135 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00006-t26_1-p1 | transcript=EDEG_00006-t26_1 | gene=EDEG_00006 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:52909-53667(-) | protein_length=252 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00007-t26_1-p1 | transcript=EDEG_00007-t26_1 | gene=EDEG_00007 | organism=Edhazardia_aedis_USNM_41457 | gene_product=actin-1 | transcript_product=actin-1 | location=AFBI03000001:88885-90015(-) | protein_length=376 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
EDEG_00007-t26_1-p1	NP_116614.1	76.330	376	88	1	1	376	1	375	0.0	632
EDEG_00007-t26_1-p1	NP_011997.1	44.384	365	201	2	8	370	15	379	2.73e-116	341
EDEG_00007-t26_1-p1	NP_010255.1	42.894	387	204	5	3	373	2	387	1.55e-109	324
EDEG_00007-t26_1-p1	NP_012599.3	34.240	441	212	9	5	372	6	441	3.56e-76	240
EDEG_00007-t26_1-p1	NP_012454.1	37.008	127	76	2	244	367	354	479	3.42e-20	89.7
EDEG_00007-t26_1-p1	NP_012454.1	28.718	195	132	3	2	195	11	199	7.74e-20	88.6
EDEG_00007-t26_1-p1	NP_014339.1	26.957	230	155	6	4	226	37	260	2.61e-19	87.8
EDEG_00007-t26_1-p1	NP_014339.1	24.121	199	127	5	183	371	558	742	3.45e-11	62.8
EDEG_00007-t26_1-p1	NP_015359.1	22.368	456	253	16	8	364	8	461	5.70e-17	80.1
EDEG_00007-t26_1-p1	NP_013186.1	21.918	438	254	12	4	368	2	424	1.10e-16	79.0
# BLASTP 2.9.0+
# Query: EDEG_00008-t26_1-p1 | transcript=EDEG_00008-t26_1 | gene=EDEG_00008 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:126857-127300(-) | protein_length=147 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
EDEG_00008-t26_1-p1	NP_010177.1	31.884	69	46	1	47	114	90	158	1.62e-07	47.4
EDEG_00008-t26_1-p1	NP_010739.3	36.000	50	32	0	42	91	181	230	4.04e-06	43.1
# BLASTP 2.9.0+
# Query: EDEG_00009-t26_1-p1 | transcript=EDEG_00009-t26_1 | gene=EDEG_00009 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:136934-138100(+) | protein_length=388 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00010-t26_1-p1 | transcript=EDEG_00010-t26_1 | gene=EDEG_00010 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:148158-150410(+) | protein_length=750 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
EDEG_00010-t26_1-p1	NP_011062.1	30.769	234	100	7	32	251	1	186	6.06e-25	106
EDEG_00010-t26_1-p1	NP_011062.1	29.560	159	104	4	579	734	276	429	1.07e-14	75.1
EDEG_00010-t26_1-p1	NP_011062.1	34.066	91	58	1	390	480	175	263	4.55e-14	73.2
# BLASTP 2.9.0+
# Query: EDEG_00011-t26_1-p1 | transcript=EDEG_00011-t26_1 | gene=EDEG_00011 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:168479-169030(+) | protein_length=183 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00012-t26_1-p1 | transcript=EDEG_00012-t26_1 | gene=EDEG_00012 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:186779-187561(+) | protein_length=260 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 7 hits found
EDEG_00012-t26_1-p1	NP_012610.1	32.872	289	148	7	7	252	12	297	4.21e-45	154
EDEG_00012-t26_1-p1	NP_009928.1	30.970	268	156	4	13	251	33	300	2.73e-38	134
EDEG_00012-t26_1-p1	NP_010056.1	36.150	213	121	4	62	259	133	345	3.29e-37	135
EDEG_00012-t26_1-p1	NP_011975.1	30.545	275	150	6	13	247	35	308	2.48e-33	123
EDEG_00012-t26_1-p1	NP_011573.3	30.769	273	162	8	8	255	97	367	8.38e-33	123
EDEG_00012-t26_1-p1	NP_010504.1	29.193	322	153	8	7	253	21	342	1.17e-31	119
EDEG_00012-t26_1-p1	NP_013418.2	29.831	295	152	8	13	254	120	412	1.18e-27	108
# BLASTP 2.9.0+
# Query: EDEG_00013-t26_1-p1 | transcript=EDEG_00013-t26_1 | gene=EDEG_00013 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:202110-202748(+) | protein_length=212 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EDEG_00013-t26_1-p1	NP_010424.3	26.923	208	113	8	7	183	13	212	1.14e-18	79.0
# BLASTP 2.9.0+
# Query: EDEG_00014-t26_1-p1 | transcript=EDEG_00014-t26_1 | gene=EDEG_00014 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:231525-231845(+) | protein_length=106 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00015-t26_1-p1 | transcript=EDEG_00015-t26_1 | gene=EDEG_00015 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:237397-238704(+) | protein_length=435 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00016-t26_1-p1 | transcript=EDEG_00016-t26_1 | gene=EDEG_00016 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:254285-255712(+) | protein_length=475 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00019-t26_1-p1 | transcript=EDEG_00019-t26_1 | gene=EDEG_00019 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:289402-289746(-) | protein_length=114 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00020-t26_1-p1 | transcript=EDEG_00020-t26_1 | gene=EDEG_00020 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:294676-295605(+) | protein_length=309 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00021-t26_1-p1 | transcript=EDEG_00021-t26_1 | gene=EDEG_00021 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:304355-304978(+) | protein_length=207 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00022-t26_1-p1 | transcript=EDEG_00022-t26_1 | gene=EDEG_00022 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:312836-313951(-) | protein_length=371 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
EDEG_00022-t26_1-p1	NP_010181.2	43.094	362	192	7	1	356	734	1087	1.27e-96	308
EDEG_00022-t26_1-p1	NP_015158.1	31.768	362	218	12	20	358	1133	1488	4.68e-40	149
EDEG_00022-t26_1-p1	NP_014297.3	27.600	250	162	6	25	256	992	1240	1.18e-14	73.6
# BLASTP 2.9.0+
# Query: EDEG_00023-t26_1-p1 | transcript=EDEG_00023-t26_1 | gene=EDEG_00023 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:314111-316126(-) | protein_length=671 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
EDEG_00023-t26_1-p1	NP_010181.2	41.910	513	266	11	24	516	136	636	3.74e-128	404
EDEG_00023-t26_1-p1	NP_015158.1	30.682	264	171	6	254	510	739	997	2.16e-29	123
EDEG_00023-t26_1-p1	NP_015158.1	27.841	176	84	5	23	171	57	216	1.17e-13	72.8
EDEG_00023-t26_1-p1	NP_014297.3	24.920	313	174	12	237	507	590	883	3.64e-14	74.3
# BLASTP 2.9.0+
# Query: EDEG_00024-t26_1-p1 | transcript=EDEG_00024-t26_1 | gene=EDEG_00024 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:330542-330847(-) | protein_length=101 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
# Database: Saccharomyces_cerevisiae_S288C.faa
# 0 hits found
# BLASTP 2.9.0+
# Query: EDEG_00025-t26_1-p1 | transcript=EDEG_00025-t26_1 | gene=EDEG_00025 | organism=Edhazardia_aedis_USNM_41457 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=AFBI03000001:330952-331356(-) | protein_length=134 | sequence_SO=contig | SO=protein_coding | is_pseudo=false
